intent,precision,recall,f1,support
place_order,1.0,0.9351979515461887,0.9665139949109415,5077
track_order,0.976145038167939,0.9319769207409657,0.9535497902749729,3293
check_payment_methods,0.7556480380499405,0.9359351988217968,0.8361842105263158,1358
delivery_period,0.9127243066884176,0.9371859296482412,0.9247933884297521,1194
cancel_order,0.8851674641148325,0.9240759240759241,0.9042033235581622,1001
payment_issue,0.8923267326732673,0.8137697516930023,0.8512396694214877,886
get_refund,0.6791131855309218,0.8105849582172702,0.739047619047619,718
check_refund_policy,0.8722627737226277,0.8047138047138047,0.8371278458844132,594
complaint,0.7274590163934426,0.7888888888888889,0.7569296375266523,450
contact_human_agent,0.8576388888888888,0.9391634980988594,0.8965517241379312,263
